day , horror
day , killer
day , fish
earth , horror
horror , killer
cereal , fish
cereal , deaf
deaf , fish
plan , return
plan , use
plan , promote
obama , plan
obama , return
obama , use
return , use
return , school
return , syrian
return , wing
return , watch
blow , gasket
blow , school
blow , scientist
march , science
march , use
climate , skepticism
cut , shocking
cut , march
cut , return
cut , hang
cut , plan
cut , destroy
cut , use
cut , nye
cut , long
budget , cut
budget , shocking
budget , march
budget , return
budget , hang
nye , return
nye , political
nye , report
bill , nye
bill , hang
bill , long
hang , march
hang , return
hang , house
hang , political
hang , report
hang , use
hang , white
hang , marchforscience
long , march
long , return
long , political
long , report
political , report
marchforscience , report
march , report
liberal , medium
chart , destroy
chart , narrative
chart , use
chart , liberal
destroy , narrative
destroy , use
destroy , liberal
destroy , nye
destroy , gasket
destroy , march
destroy , pac
destroy , promote
narrative , use
liberal , narrative
syrian , wing
syrian , use
gas , killing
gas , syrian
poison , syrian
killing , syrian
killing , wing
killing , use
climatologist , use
climatologist , pac
climatologist , promote
climatologist , his
climatologist , watch
leave , wing
leave , use
use , watch
pac , promote
pac , watch
his , pac
his , promote
promote , watch
earth , watch
earth , march
nonpartisan , watch
day , watch
day , march
march , watch
nye , school
bill , blow
bill , gasket
gasket , school
real , scientist
real , school
cnn , school
cnn , day
cnn , trump
cnn , scientist
cnn , return
cnn , nye
cnn , gasket
cnn , think
cnn , earth
cnn , nod
cnn , environment
cnn , real
cnn , fact
cnn , plan
cnn , destroy
cnn , use
cnn , people
cnn , maddow
cnn , riot
fact , man
change , man
change , degree
climate , man
man , mechanical
bill , man
bill , change
rip , school
rip , trump
rip , scientist
rip , think
change , skeptic
climate , skeptic
day , school
day , trump
day , scientist
day , return
day , nye
day , gasket
day , think
day , nod
day , environment
earth , school
earth , trump
celebrates , earth
celebrates , day
nod , school
nod , trump
environment , school
environment , trump
us , workers
maddow , trump
rachel , trump
blame , trump
blame , school
blame , blow
blame , riot
trump , violent
riot , socialist
riot , venezuela
riot , science
march , plan
socialist , venezuela
air , blow
air , clean
air , return
air , nye
air , gasket
air , think
clean , return
clean , nye
clean , gasket
clean , think
think , use
people , think
people , return
bad , blow
protest , refuse
protest , they
protest , understand
protest , protester
protest , street
man , steal
dress , steal
dress , protester
carrot , steal
generic , protester
generic , leftist
leftist , protester
defend , science
change , science
climate , science
refuse , understand
refuse , street
they , understand
flood , street
flood , march
flood , place
flood , wave
flood , tweet
flood , look
