term,degree,closeness,is_alpha,usable_term
change,58,0.47629750895978057,True,True
sign,48,0.4601679120428159,True,True
climate,48,0.45653022103852486,True,True
earth,43,0.48735082667825647,True,True
obama,33,0.4301755900288521,True,True
fight,33,0.4045609314281849,True,True
expose,32,0.4169752560387971,True,True
rally,32,0.4088571537088382,True,True
celebrate,29,0.41250766400981,True,True
talk,28,0.42778572563980294,True,True
cost,28,0.42077284489160943,True,True
agreement,27,0.4052706874482343,True,True
conduct,26,0.38182527577767533,True,True
scam,25,0.41398618610303506,True,True
claim,23,0.42308478359980506,True,True
want,23,0.40741497679981226,True,True
catch,23,0.4052706874482343,True,True
calendar,22,0.34685329105929963,True,True
teach,21,0.39623377675041777,True,True
raise,21,0.3437563866748416,True,True
liberal,20,0.4045609314281849,True,True
find,19,0.398971143083754,True,True
billion,19,0.3811952010651709,True,True
violate,18,0.398971143083754,True,True
care,18,0.3955552942559821,True,True
president,18,0.3902099524417121,True,True
meme,18,0.3843665421722023,True,True
americans,18,0.38056720238137326,True,True
reveal,18,0.3564881046998357,True,True
describe,17,0.41177235623082636,True,True
candidate,17,0.398971143083754,True,True
threat,16,0.38564990291401263,True,True
denial,16,0.3626441002284043,True,True
flex,16,0.33822004662590566,True,True
poll,15,0.39353371694291917,True,True
usher,15,0.39353371694291917,True,True
brilliantly,15,0.36667347911983106,True,True
pact,14,0.39691459079981717,True,True
blast,14,0.3955552942559821,True,True
soar,14,0.35321757162919504,True,True
obscure,14,0.33822004662590566,True,True
politic,13,0.39691459079981717,True,True
deal,13,0.3837280595440093,True,True
paris,13,0.3799412694827197,True,True
version,13,0.37318948601856794,True,True
place,13,0.3603811105233909,True,True
form,13,0.3526783081610589,True,True
visit,13,0.3367409502120897,True,True
sander,13,0.3267387437701465,True,True
baldwin,12,0.39966140457697846,True,True
analyst,12,0.38889611421800263,True,True
bailey,12,0.3690164406477533,True,True
skeptic,12,0.3575917830425597,True,True
america,12,0.3412175655029447,True,True
welcome,12,0.3362507887125088,True,True
fraud,11,0.39623377675041777,True,True
identify,11,0.3882425073033505,True,True
wrong,11,0.3799412694827197,True,True
lesson,11,0.3690164406477533,True,True
crush,11,0.35107035234877443,True,True
chillin,11,0.3427363380496937,True,True
kill,11,0.33382123099059763,True,True
consequence,11,0.33190271816881256,True,True
simulation,11,0.31995054272229023,True,True
china,11,0.2980700539941853,True,True
muscle,11,0.2980700539941853,True,True
gather,10,0.39153269804320945,True,True
leader,10,0.37931739219292865,True,True
agenda,10,0.36725642582749374,True,True
alarmism,10,0.36493569011926313,True,True
funny,10,0.3609442060085837,True,True
target,10,0.3564881046998357,True,True
submit,10,0.3437563866748416,True,True
replace,10,0.305157585000652,True,True
live,10,0.2913042772326527,True,True
clinton,10,0.28309349490869307,True,True
nation,9,0.3725875674927316,True,True
debate,9,0.3690164406477533,True,True
trillion,9,0.3660923801037933,True,True
maher,9,0.363786286370856,True,True
family,9,0.3603811105233909,True,True
planet,9,0.3377255728735286,True,True
letter,9,0.3239891891241144,True,True
lead,9,0.3235354227527921,True,True
musk,9,0.2992283573128155,True,True
history,9,0.29615934851986353,True,True
praise,8,0.38629480241721337,True,True
wage,8,0.3592601739432248,True,True
weather,8,0.3570390909513038,True,True
suspect,8,0.3564881046998357,True,True
global,8,0.3442686912749532,True,True
warming,8,0.3387159704479378,True,True
think,8,0.33430432973298635,True,True
american,8,0.32766566219218946,True,True
state,8,0.32490055111883764,True,True
gain,8,0.3195080108513051,True,True
ronald,8,0.3147197436587106,True,True
safe,8,0.31174668265248795,True,True
world,7,0.3660923801037933,True,True
hint,7,0.3603811105233909,True,True
article,7,0.35981976922974074,True,True
people,7,0.35539121822383624,True,True
expert,7,0.35484530237403006,True,True
constitution,7,0.332859210152008,True,True
high,7,0.32953536639870695,True,True
long,7,0.32953536639870695,True,True
energy,7,0.31090752603700345,True,True
environmental,7,0.30275791853931006,True,True
engelke,7,0.2711317979407201,True,True
retire,7,0.25781729000613124,True,True
sayet,6,0.3587023165302695,True,True
