leader , sign
leader , paris
agreement , day
agreement , earth
climate , day
it , sign
it , obama
it , leader
it , point
obama , sign
point , sign
historic , point
historic , turning
historic , obama
deal , sign
deal , good
paris , sign
climate , deal
climate , sign
chance , sign
chance , we
chance , save
chance , million
chance , march
chance , fast
chance , number
chance , worldwide
chance , demand
chance , predict
good , sign
good , we
good , save
good , million
good , march
save , sign
number , sign
record , sign
planet , record
ceremony , earth
ceremony , day
accelerate , fast
accelerate , predict
accelerate , model
accelerate , explain
million , worldwide
million , predict
march , worldwide
march , warn
march , predict
march , scientist
march , warming
demand , warn
demand , scientist
demand , warming
demand , fast
demand , global
climate , scientist
climate , warn
action , scientist
action , warn
action , warming
scientist , warn
scientist , warming
global , warming
fast , predict
fast , model
fast , find
predict , report
case , model
case , predict
case , explain
bad , case
bad , model
bad , predict
model , predict
agreement , explain
agreement , find
agreement , mean
agreement , report
climate , explain
climate , find
explain , find
explain , mean
explain , report
explain , it
explain , new
explain , sander
mean , report
mean , new
mean , sander
mean , u.s
it , mean
it , report
find , sander
cost , economy
cost , find
cost , u.s
cost , report
change , cost
change , economy
change , find
change , u.s
american , change
american , climate
american , cost
american , economy
climate , cost
climate , economy
economy , find
report , sander
new , report
bernie , sander
bernie , hillary
pledge , sander
pledge , report
pledge , predict
clinton , hillary
clinton , sander
clinton , pledge
clinton , find
clinton , fight
fight , sander
fight , find
fight , mean
fight , report
crisis , sander
crisis , find
crisis , day
climate , crisis
data , find
data , mean
data , report
data , explain
data , year
confirm , find
confirm , mean
confirm , report
confirm , explain
confirm , year
confirm , it
confirm , cost
confirm , new
confirm , predict
confirm , sander
confirm , crisis
confirm , hot
hot , year
break , it
break , create
break , find
break , crisis
break , deal
break , million
break , mean
break , report
break , explain
break , health
break , paris
break , climate
it , million
create , million
create , find
create , crisis
create , denial
deal , million
climate , create
climate , million
job , republican
green , job
energy , job
climate , denial
crisis , mean
crisis , report
crisis , explain
doctor , message
doctor , sign
doctor , event
doctor , scientist
event , message
coral , event
bleaching , event
bad , history
bad , confirm
bad , message
bad , record
confirm , message
confirm , season
confirm , long
confirm , threaten
confirm , sign
confirm , deal
confirm , die
confirm , miserable
confirm , level
confirm , displace
scientist , season
scientist , threaten
change , season
change , long
change , threaten
change , miserable
change , level
change , displace
climate , season
climate , long
climate , threaten
season , threaten
allergy , season
allergy , long
allergy , threaten
long , miserable
long , threaten
miserable , threaten
level , threaten
rise , sea
rise , threaten
sea , threaten
displace , million
displace , francis
displace , imperative
displace , pope
displace , moral
displace , earth
americans , francis
americans , imperative
americans , day
francis , imperative
francis , moral
action , imperative
action , day
action , moral
action , earth
climate , imperative
message , reef
message , sign
great , reef
barrier , reef
barrier , die
change , kill
change , it
climate , kill
climate , it
generation , sue
generation , warn
generation , government
generation , report
new , sue
new , warn
activist , sue
day , sue
day , important
important , map
map , reshape
map , threat
reshape , threat
reshape , security
global , reshape
change , threat
america , change
america , climate
national , threat
national , security
security , threat
report , warn
report , sue
report , sign
report , scientist
pentagon , report
pentagon , warn
pentagon , sue
threaten , warn
threaten , undo
kerry , sign
kerry , paris
john , kerry
john , sign
sign , sue
agreement , sue
agreement , climate
agreement , granddaughter
agreement , lap
agreement , power
agreement , cheap
agreement , government
agreement , scientist
agreement , his
agreement , solar
agreement , it
paris , sue
paris , power
climate , sue
climate , granddaughter
climate , lap
climate , power
climate , mean
his , lap
cheap , mean
cheap , it
cheap , coal
mean , vulnerable
country , vulnerable
country , fight
country , it
fight , it
climate , government
community , vital
community , step
bear , burden
bear , scientist
bear , warn
bear , spread
bear , heavy
bear , extent
bear , sue
bear , report
bear , threaten
bear , climate
bear , paris
bear , researcher
bear , unveil
bear , reach
bear , record
bear , low
burden , extent
burden , reach
burden , record
burden , low
burden , scientist
burden , warn
burden , spread
burden , change
burden , ice
heavy , reach
heavy , record
heavy , low
change , reach
change , ice
climate , reach
climate , ice
ice , reach
arctic , ice
arctic , reach
researcher , spread
researcher , unveil
researcher , virus
researcher , scientist
researcher , warn
researcher , zika
alarm , researcher
alarm , spread
alarm , fuel
alarm , unveil
alarm , change
alarm , virus
spread , unveil
spread , warn
spread , sue
spread , threaten
spread , sweeping
fuel , virus
fuel , spread
fuel , zika
fuel , unveil
change , fuel
change , virus
change , spread
change , zika
climate , fuel
climate , virus
america , unveil
unveil , warn
democrats , unveil
democrats , plan
democrats , sweeping
democrats , hide
action , plan
action , ahead
action , cost
climate , plan
ahead , day
ahead , cost
ahead , earth
bankrupt , threaten
bankrupt , warn
bankrupt , teach
bankrupt , undo
bankrupt , employ
bankrupt , grow
bankrupt , community
bankrupt , sue
bankrupt , report
bankrupt , climate
bankrupt , school
bankrupt , science
bankrupt , decade
bankrupt , it
bankrupt , fast
bankrupt , disrupt
bankrupt , indigenous
bankrupt , line
inaction , threaten
inaction , warn
inaction , teach
inaction , undo
america , threaten
america , warn
america , teach
america , undo
america , employ
america , grow
america , community
community , threaten
community , line
teach , warn
undo , warn
decade , progress
decade , warn
decade , teach
decade , employ
decade , grow
decade , global
decade , health
progress , warn
progress , solar
global , progress
global , health
global , warn
global , industry
health , progress
health , warn
health , industry
employ , warn
employ , teach
employ , grow
employ , sue
employ , report
employ , school
employ , science
employ , it
employ , fast
americans , warn
americans , teach
americans , grow
americans , coal
grow , warn
grow , teach
grow , sue
grow , report
grow , school
grow , science
grow , threaten
it , warn
it , teach
fast , warn
fast , teach
disrupt , threaten
disrupt , warn
disrupt , teach
disrupt , security
change , disrupt
climate , disrupt
agriculture , threaten
agriculture , security
agriculture , day
agriculture , food
agriculture , earth
food , security
school , teach
school , science
school , warn
science , warn
climate , science
fuel , movement
fuel , know
fossil , fuel
fossil , movement
divestment , movement
divestment , know
exxonmobil , know
exxonmobil , hide
exxonmobil , it
huge , victory
huge , know
change , decade
change , hide
climate , decade
hide , it
document , plan
document , need
document , obama
document , power
