march , warn
march , protection
march , truth
march , rollback
march , reckless
march , scientist
march , war
march , trump
scientist , warn
scientist , truth
scientist , thousand
dismantle , protection
dismantle , explain
dismantle , war
dismantle , scientist
dismantle , truth
dismantle , trump
dismantle , march
demand , truth
demand , march
change , march
climate , march
draw , march
draw , thousand
draw , u.s
draw , warn
draw , protection
draw , explain
draw , truth
draw , rollback
draw , reckless
thousand , u.s
day , trump
day , rollback
earth , trump
earth , rollback
climate , rollback
climate , reckless
epa , protection
epa , explain
epa , pruitt
protection , war
protection , scientist
climate , protection
climate , explain
trump , war
climate , science
americans , explain
climate , scientist
risk , scientist
explain , march
explain , step
march , science
march , step
state , step
state , warming
step , warming
step , white
change , step
change , hit
house , step
house , march
denial , warming
denial , global
denial , hit
climate , denial
climate , warming
climate , global
climate , hit
global , warming
global , hit
record , warming
record , step
record , state
quarter , silence
quarter , scientist
quarter , resistance
quarter , strong
hot , silence
hot , scientist
hot , pull
hot , pariah
hot , resistance
hot , strong
pull , silence
pull , scientist
pariah , scientist
pariah , silence
america , pariah
america , global
america , scientist
global , pariah
global , scientist
epa , terrified
happen , policy
climate , earth
climate , day
climate , policy
grow , strong
grow , silence
grow , scientist
grow , political
grow , trump
resistance , strong
resistance , silence
denial , grow
crisis , political
crisis , trump
climate , crisis
march , protest
march , secretly
important , protest
generation , support
generation , protest
generation , scientist
generation , march
generation , important
generation , today
support , today
scientist , support
scientist , today
climate , support
march , pruitt
science , scott
erase , protest
erase , website
erase , policy
erase , form
erase , scientist
erase , secretly
erase , important
erase , underground
change , protest
change , website
change , denier
change , policy
change , form
climate , denier
denier , policy
denier , form
denier , environmental
denier , underground
policy , underground
america , policy
america , environmental
america , form
environmental , policy
environmental , form
datum , form
datum , want
datum , underground
datum , washington
datum , trump
datum , state
global , want
global , underground
form , underground
form , washington
bury , state
bury , form
administration , want
administration , bury
administration , form
administration , state
trump , want
blue , state
coalition , underground
coalition , washington
climate , coalition
climate , underground
scientist , secretly
datum , protest
datum , research
cut , research
cut , devastating
budget , cut
budget , research
research , worth
devastating , research
devastating , worth
climate , research
climate , worth
agreement , worth
agreement , fight
paris , worth
administration , refuse
administration , it
push , trump
corporation , push
corporation , quietly
corporation , oppose
rollback , woman
rollback , threat
rollback , scientist
rollback , trump
lead , movement
lead , resistance
lead , push
lead , oppose
climate , movement
climate , resistance
city , line
city , push
city , oppose
city , new
line , push
line , oppose
change , denial
change , climate
change , house
denial , house
denial , white
climate , house
threat , year
threat , young
national , security
cost , year
cost , scientist
cost , taxpayer
cost , young
cost , march
cost , today
cost , rest
change , cost
change , year
change , scientist
change , taxpayer
change , young
climate , cost
climate , year
billion , year
billion , scientist
billion , young
billion , march
taxpayer , year
year , young
march , today
march , rest
action , science
action , today
rest , world
agenda , oppose
agenda , majority
climate , oppose
oppose , poll
poll , scientist
new , poll
epa , scientist
epa , refuse
change , refuse
abandon , agreement
abandon , scientist
abandon , mistake
abandon , paris
abandon , epa
abandon , refuse
abandon , rollback
abandon , poll
abandon , historic
abandon , denial
abandon , policy
abandon , march
agreement , scientist
agreement , mistake
mistake , scientist
mistake , refuse
mistake , poll
mistake , policy
historic , mistake
historic , scientist
denial , policy
denial , march
denial , scientist
denial , official
denial , u.s
denial , science
policy , scientist
policy , science
official , policy
official , u.s
crisis , look
march , washington
march , they
march , purchase
bad , look
away , look
away , washington
away , march
away , scientist
away , today
scientist , washington
scientist , they
today , washington
afraid , come
afraid , look
afraid , change
afraid , purchase
afraid , save
come , save
come , datum
climate , fight
climate , save
save , trump
climate , datum
change , purchase
change , undeniable
change , republicans
change , industry
change , day
change , rollback
climate , purchase
republicans , scientist
climate , quit
climate , complicit
climate , epa
complicit , denial
purchase , rollback
industry , purchase
fuel , industry
fuel , purchase
fossil , fuel
fossil , industry
fossil , purchase
american , policy
american , climate
american , earth
american , day
day , demand
day , science
day , emergency
day , resistance
hurt , rollback
hurt , planet
hurt , sue
hurt , trump
hurt , purchase
hurt , state
hurt , science
hurt , march
hurt , plan
hurt , they
hurt , undeniable
hurt , republicans
hurt , industry
hurt , u.s
demand , rollback
climate , emergency
climate , demand
clean , plan
clean , power
planet , rollback
planet , sue
planet , trump
planet , purchase
planet , state
state , sue
state , trump
sue , trump
administration , day
administration , rollback
rollback , weather
climate , drive
climate , weather
drive , weather
drive , fight
drive , extreme
drive , right
drive , scientist
drive , protect
change , drive
change , weather
change , fight
change , extreme
change , right
change , protect
extreme , weather
extreme , fight
fight , protect
fight , interference
fight , tax
fight , important
protect , tax
datum , interference
datum , tax
datum , important
carbon , tax
carbon , important
community , paris
agreement , alive
change , frequent
change , flood
climate , frequent
frequent , rollback
flood , frequent
fema , unready
rally , redrawe
community , rally
america , community
america , business
america , rally
business , community
business , rally
agreement , paris
agreement , rally
agreement , community
agreement , toll
climate , paris
climate , rally
toll , trump
hidden , toll
hidden , rally
hidden , rollback
climate , health
california , leader
california , rally
california , emergency
california , issue
california , world
california , climate
california , default
leader , rally
climate , leader
emergency , rally
emergency , issue
emergency , partisan
emergency , it
emergency , redrawe
climate , issue
issue , rally
issue , it
issue , redrawe
partisan , rally
it , rally
human , march
march , renewable
climate , justice
energy , grow
energy , war
grow , war
action , fight
democrats , fight
democrats , protect
democrats , science
fight , science
protect , science
redrawe , scientist
global , redrawe
harm , redrawe
harm , pull
harm , warming
harm , rally
harm , issue
harm , regulation
harm , million
harm , march
harm , urgency
harm , specie
harm , require
harm , scientist
harm , toll
harm , leader
harm , listen
harm , woman
harm , partisan
harm , it
harm , risk
harm , science
harm , mall
harm , protect
coastline , scientist
coastline , run
america , coastline
america , climate
scientist , we
climate , run
case , scientist
case , weak
case , climate
case , coastline
business , case
business , scientist
business , weak
isolate , redrawe
isolate , mayor
isolate , warming
isolate , pull
isolate , scientist
denial , isolate
denial , redrawe
denial , mayor
denial , harm
denial , fight
climate , isolate
climate , redrawe
climate , mayor
america , redrawe
america , mayor
america , warming
america , harm
america , fight
ally , redrawe
ally , mayor
mayor , redrawe
mayor , warming
fight , redrawe
government , harm
government , redrawe
government , pull
federal , government
federal , harm
change , harm
change , redrawe
change , disproportionately
change , community
change , pull
change , warming
change , coastline
change , rally
change , emergency
change , issue
change , regulation
change , million
change , urgency
change , specie
change , require
climate , harm
climate , disproportionately
climate , community
climate , pull
disproportionately , harm
disproportionately , redrawe
disproportionately , pull
disproportionately , warming
disproportionately , rally
disproportionately , emergency
disproportionately , issue
disproportionately , regulation
disproportionately , million
disproportionately , march
disproportionately , urgency
disproportionately , specie
disproportionately , require
community , redrawe
community , pull
community , warming
community , emergency
community , issue
community , regulation
community , million
community , march
community , urgency
community , specie
community , require
erasing , regulation
erasing , million
erasing , march
regulation , risk
regulation , science
climate , regulation
climate , million
million , redrawe
million , pull
million , risk
million , science
american , life
march , redrawe
march , pull
bring , urgency
bring , redrawe
bring , pull
bring , climate
bring , mall
bring , warming
bring , coastline
bring , rally
bring , emergency
bring , issue
bring , change
bring , specie
bring , require
bring , national
climate , urgency
mall , plan
mall , movement
mall , survive
national , plan
movement , plan
movement , survive
movement , year
climate , plan
climate , survive
plan , survive
plan , year
survive , year
survive , trump
pull , specie
pull , require
pull , redrawe
pull , warming
pull , rally
climate , specie
climate , require
protect , require
agreement , require
agreement , case
paris , require
action , case
action , conservative
listen , march
listen , woman
listen , scientist
listen , rally
listen , look
listen , wake
listen , position
listen , unbearable
listen , policy
listen , setback
republicans , woman
crisis , scientist
crisis , unbearable
crisis , march
crisis , policy
crisis , setback
season , unbearable
allergy , season
allergy , unbearable
allergy , scientist
scientist , setback
denial , live
cost , live
center , politic
center , party
party , politic
democratic , party
democratic , politic
policy , setback
policy , protect
energy , policy
energy , setback
setback , transform
setback , threaten
setback , supply
activist , transform
activist , threaten
activist , earth
activist , day
activist , change
activist , supply
activist , climate
activist , america
activist , freshwater
climate , transform
climate , threaten
climate , supply
earth , threaten
day , threaten
act , resistance
change , threaten
change , supply
change , freshwater
america , supply
america , freshwater
freshwater , supply
protect , research
climate , funding
funding , imperative
bipartisan , imperative
march , woman
march , rally
march , wake
march , position
march , wait
march , union
march , research
march , win
march , want
march , president
march , work
wake , woman
denial , fuel
fuel , new
fuel , march
fuel , woman
emergency , fuel
emergency , era
emergency , new
climate , fuel
climate , era
change , wildfire
bad , west
american , west
color , lead
lead , march
justice , movement
denial , position
climate , position
position , response
position , u.s
official , position
official , response
demand , response
demand , immediate
demand , scientist
demand , today
crisis , demand
crisis , response
crisis , immediate
climate , response
response , scientist
response , today
immediate , response
immediate , march
immediate , scientist
immediate , today
aggressive , response
aggressive , march
climate , truth
disrupt , look
disrupt , win
disrupt , want
disrupt , force
disrupt , science
disrupt , wait
disrupt , union
disrupt , research
disrupt , scientist
disrupt , solar
disrupt , republicans
change , disrupt
change , datum
change , look
change , win
change , want
climate , disrupt
agriculture , win
agriculture , datum
agriculture , solar
agriculture , battle
agriculture , look
agriculture , cost
agriculture , climate
agriculture , want
agriculture , wind
american , win
american , datum
american , solar
american , battle
solar , win
solar , wind
battle , fuel
battle , fossil
datum , republicans
datum , look
datum , you
datum , lead
climate , want
climate , republicans
want , you
republicans , want
republicans , you
congress , want
lead , policy
lead , worth
lead , think
lead , paris
lead , trump
lead , urge
america , lead
america , change
america , worth
america , think
federal , policy
agreement , think
agreement , trump
agreement , urge
paris , think
think , urge
think , trump
trump , urge
leader , urge
leader , trump
leader , stay
corporate , leader
corporate , urge
corporate , trump
corporate , stay
climate , deal
change , normal
change , science
change , hand
change , city
climate , flood
flood , normal
flood , new
flood , science
flood , hand
new , normal
city , resilience
city , climate
city , help
build , resilience
build , climate
build , help
build , washington
climate , resilience
force , look
force , science
force , wait
force , hard
force , president
change , force
change , decision
change , wait
change , hard
climate , force
climate , look
climate , decision
look , wait
look , president
look , union
look , research
look , scientist
decision , look
decision , science
decision , wait
hard , look
community , earth
community , day
coastal , community
coastal , earth
coastal , day
day , look
science , wait
activism , look
activism , wait
president , wait
deny , president
climate , deny
climate , president
emergency , wait
climate , wait
union , worker
cost , dearly
cost , crisis
cost , end
fight , worker
fight , research
defunding , research
climate , dearly
america , dearly
america , march
america , beginning
dearly , march
beginning , end
beginning , fight
beginning , resistance
end , resistance
end , fight
resistance , turn
climate , turn
advocate , turn
advocate , earth
advocate , day
advocate , movement
earth , movement
day , movement
movement , warming
change , geography
change , risk
geography , risk
american , risk
fight , future
child , future
scientist , work
cut , drive
cut , separate
budget , drive
budget , change
budget , cost
drive , separate
drive , insurance
drive , justice
change , separate
cost , separate
cost , insurance
cost , justice
cost , homeowner
cost , environmental
insurance , separate
homeowner , insurance
justice , separate
environmental , justice
environmental , separate
action , separate
climate , separate
march , prove
administration , try
administration , rewrite
administration , science
trump , try
rewrite , science
change , rewrite
fight , try
fight , rewrite
fight , state
fight , trump
fight , march
fight , referendum
fight , step
fight , scientist
change , try
america , state
america , trump
america , try
america , fill
good , policy
good , state
good , trump
policy , state
policy , trump
economic , policy
adopt , state
adopt , trump
adopt , try
adopt , fill
adopt , rewrite
adopt , march
adopt , referendum
adopt , step
adopt , scientist
adopt , community
adopt , vacuum
adopt , change
adopt , heat
adopt , crisis
state , vacuum
state , try
fill , vacuum
fill , leadership
fill , leave
fill , trump
leadership , vacuum
leadership , leave
climate , leadership
climate , vacuum
climate , leave
change , heat
change , crisis
change , deadly
change , health
climate , heat
extreme , heat
deadly , health
deadly , public
march , referendum
march , try
referendum , step
referendum , try
referendum , retreat
alarm , retreat
alarm , step
american , retreat
china , leader
china , step
china , world
china , climate
leader , step
step , sue
advocate , sue
advocate , protect
advocate , generation
climate , sue
climate , protect
protect , rollback
generation , rollback
generation , trump
future , generation
future , rollback
illegal , rollback
illegal , trump
illegal , protect
illegal , law
law , rollback
environmental , law
connection , threaten
connection , try
connection , fight
connection , democracy
connection , march
connection , rewrite
connection , state
connection , trump
connection , referendum
connection , step
connection , scientist
connection , crisis
hide , threaten
hide , try
hide , march
change , opioid
climate , opioid
america , crisis
america , opioid
threaten , try
change , democracy
climate , democracy
american , democracy
it , survival
survival , try
survival , work
climate , survival
climate , try
scientist , try
climate , work
climate , erase
administration , erase
erase , job
erase , lose
create , job
create , lose
create , march
action , create
action , job
action , lose
climate , create
climate , job
job , lose
job , march
job , today
job , rise
job , unite
lose , march
lose , today
