term,degree,closeness,is_alpha,usable_term
change,231,0.6551246537396122,True,True
climate,231,0.6533149171270718,True,True
threaten,108,0.55,True,True
fight,96,0.5424311926605505,True,True
action,88,0.5284916201117319,True,True
agreement,76,0.5158124318429662,True,True
scientist,75,0.5214994487320838,True,True
america,69,0.5064239828693791,True,True
crisis,68,0.5119047619047619,True,True
report,68,0.5091496232508074,True,True
drive,68,0.5080558539205156,True,True
warn,64,0.5080558539205156,True,True
warming,61,0.5042643923240938,True,True
link,57,0.5005291005291005,True,True
help,54,0.4942528735632184,True,True
mean,50,0.4963273871983211,True,True
confirm,49,0.4978947368421053,True,True
lead,47,0.49015544041450776,True,True
paris,46,0.489648033126294,True,True
disrupt,46,0.4891416752843847,True,True
declare,46,0.48813209494324045,True,True
cost,45,0.489648033126294,True,True
american,45,0.4748995983935743,True,True
city,44,0.47922998986828774,True,True
movement,44,0.47922998986828774,True,True
need,43,0.5,True,True
come,43,0.4916839916839917,True,True
matter,43,0.48512820512820515,True,True
plan,43,0.48463114754098363,True,True
global,42,0.47874493927125505,True,True
fuel,41,0.4744232698094283,True,True
pledge,40,0.4891416752843847,True,True
million,40,0.48662551440329216,True,True
prove,40,0.48512820512820515,True,True
earth,39,0.4632713026444662,True,True
energy,38,0.473,True,True
grow,37,0.4806910569105691,True,True
deal,37,0.48020304568527916,True,True
study,36,0.47585513078470826,True,True
community,36,0.4748995983935743,True,True
teach,36,0.4660098522167488,True,True
world,36,0.45656370656370654,True,True
issue,35,0.47537688442211057,True,True
save,35,0.47064676616915424,True,True
power,35,0.4660098522167488,True,True
find,34,0.47633434038267874,True,True
hard,34,0.47585513078470826,True,True
future,33,0.4715852442671984,True,True
case,33,0.47064676616915424,True,True
destroy,33,0.46924603174603174,True,True
americans,33,0.43836886005560705,True,True
reshape,32,0.47394789579158314,True,True
transform,32,0.47394789579158314,True,True
number,31,0.4811800610376399,True,True
stop,31,0.46831683168316834,True,True
stay,31,0.4628180039138943,True,True
sign,31,0.4583333333333333,True,True
year,31,0.4404096834264432,True,True
provide,31,0.423455684870188,True,True
explain,30,0.4777777777777778,True,True
spread,30,0.4701789264413519,True,True
record,29,0.4725274725274725,True,True
accelerate,29,0.45877788554801163,True,True
worsen,29,0.45877788554801163,True,True
strain,27,0.46101364522417154,True,True
science,27,0.45877788554801163,True,True
bankrupt,27,0.45263157894736844,True,True
clean,27,0.4424695977549111,True,True
opportunity,26,0.4711155378486056,True,True
divest,26,0.46509341199606685,True,True
predict,26,0.4548076923076923,True,True
trillion,26,0.45090562440419446,True,True
chance,26,0.4424695977549111,True,True
state,25,0.4628180039138943,True,True
justice,25,0.4570048309178744,True,True
tool,25,0.4556840077071291,True,True
demand,24,0.46646942800788954,True,True
country,24,0.46101364522417154,True,True
health,24,0.4583333333333333,True,True
break,24,0.4487666034155598,True,True
promise,24,0.4487666034155598,True,True
fast,24,0.4483412322274882,True,True
affect,23,0.4632713026444662,True,True
inaction,23,0.43434343434343436,True,True
settle,22,0.4458058435438266,True,True
bear,22,0.44205607476635517,True,True
prescribe,22,0.4391829155060353,True,True
dangerous,21,0.4483412322274882,True,True
denial,21,0.44288389513108617,True,True
erase,20,0.46236559139784944,True,True
battle,20,0.4548076923076923,True,True
decide,20,0.4466477809254013,True,True
undo,20,0.444967074317968,True,True
refugee,19,0.45306513409961685,True,True
employ,19,0.444131455399061,True,True
right,19,0.4424695977549111,True,True
literally,19,0.41238012205754143,True,True
unveil,18,0.4583333333333333,True,True
drought,18,0.45393474088291746,True,True
displace,18,0.4521988527724665,True,True
include,18,0.43514259429622815,True,True
specie,18,0.43156934306569344,True,True
regulation,18,0.4307832422586521,True,True
meet,18,0.41023417172593235,True,True
economic,17,0.45306513409961685,True,True
long,17,0.45306513409961685,True,True
leave,17,0.4521988527724665,True,True
government,17,0.45133587786259544,True,True
decade,17,0.4487666034155598,True,True
progress,17,0.4466477809254013,True,True
activist,17,0.44622641509433963,True,True
push,17,0.4412313432835821,True,True
expensive,17,0.4156414762741652,True,True
story,17,0.4081104400345125,True,True
carbon,17,0.4032395566922421,True,True
upend,17,0.4025531914893617,True,True
event,17,0.3944954128440367,True,True
technology,16,0.45656370656370654,True,True
researcher,16,0.45176695319961796,True,True
site,16,0.45004757373929594,True,True
capacity,16,0.444967074317968,True,True
know,16,0.444131455399061,True,True
election,16,0.42766726943942135,True,True
risk,16,0.42728093947606144,True,True
happen,16,0.3988195615514334,True,True
security,15,0.4548076923076923,True,True
economy,15,0.4543707973102786,True,True
supply,15,0.4521988527724665,True,True
learn,15,0.444967074317968,True,True
peril,15,0.4408201304753029,True,True
solar,15,0.43554327808471455,True,True
pattern,15,0.43434343434343436,True,True
burden,15,0.4323583180987203,True,True
industry,15,0.43156934306569344,True,True
nation,15,0.42921960072595283,True,True
lift,15,0.42728093947606144,True,True
erode,15,0.4226988382484361,True,True
vision,15,0.4091695501730104,True,True
wonder,15,0.4077586206896552,True,True
face,15,0.39681208053691275,True,True
obama,15,0.3893004115226337,True,True
farmer,14,0.4570048309178744,True,True
bill,14,0.45090562440419446,True,True
empower,14,0.4491927825261159,True,True
rule,14,0.4453860640301318,True,True
native,14,0.4408201304753029,True,True
influence,14,0.43836886005560705,True,True
reach,14,0.4359447004608295,True,True
later,14,0.43315018315018317,True,True
level,14,0.4323583180987203,True,True
shrink,14,0.4323583180987203,True,True
history,14,0.43,True,True
school,14,0.42921960072595283,True,True
reduce,14,0.4280542986425339,True,True
hide,14,0.423455684870188,True,True
melt,14,0.4178445229681979,True,True
realize,14,0.39090909090909093,True,True
doctor,14,0.38898026315789475,True,True
live,14,0.3886606409202958,True,True
good,14,0.38206785137318255,True,True
develop,14,0.3753968253968254,True,True
life,13,0.44961977186311786,True,True
revolution,13,0.4437148217636023,True,True
dent,13,0.4437148217636023,True,True
trigger,13,0.4424695977549111,True,True
join,13,0.44205607476635517,True,True
company,13,0.43156934306569344,True,True
race,13,0.4261261261261261,True,True
wildfire,13,0.4242152466367713,True,True
rate,13,0.4131004366812227,True,True
home,13,0.39949324324324326,True,True
force,13,0.39781328847771236,True,True
founder,13,0.39416666666666667,True,True
defend,13,0.3854930725346373,True,True
accounting,12,0.44706994328922495,True,True
require,12,0.4466477809254013,True,True
twin,12,0.4437148217636023,True,True
effective,12,0.44288389513108617,True,True
acidification,12,0.4268953068592058,True,True
hand,12,0.4265103697024346,True,True
moral,12,0.42383512544802865,True,True
physician,12,0.423455684870188,True,True
ocean,12,0.41932624113475175,True,True
important,12,0.41932624113475175,True,True
dollar,12,0.40152801358234297,True,True
document,12,0.39515455304928987,True,True
worse,12,0.39482470784641066,True,True
message,12,0.37900641025641024,True,True
clear,12,0.37749401436552277,True,True
hold,12,0.3739130434782609,True,True
investor,12,0.337615988579586,True,True
adapt,11,0.44706994328922495,True,True
infrastructure,11,0.4466477809254013,True,True
agriculture,11,0.4458058435438266,True,True
think,11,0.44164332399626516,True,True
pentagon,11,0.4408201304753029,True,True
exceed,11,0.4404096834264432,True,True
stand,11,0.43554327808471455,True,True
congress,11,0.43354720439963335,True,True
protection,11,0.43275388838060386,True,True
student,11,0.4280542986425339,True,True
