term,degree,closeness,is_alpha,usable_term
climate,132,0.7046042193101016,True,True
change,65,0.559324998833792,True,True
follow,49,0.5229351796325573,True,True
deserve,47,0.526742960066775,True,True
march,46,0.5345273387869737,True,True
regulation,41,0.5142608994016855,True,True
american,41,0.4707550966323456,True,True
set,35,0.4966089234496827,True,False
agenda,33,0.5082391090105651,True,True
protect,33,0.5023567119155354,True,True
policy,33,0.49434646821756567,True,True
beat,31,0.5000417040265237,True,True
trump,31,0.49434646821756567,True,True
energy,29,0.4707550966323456,True,True
americans,28,0.48226244343891406,True,True
cost,26,0.4833365246047023,True,True
deal,25,0.48988284322237313,True,True
create,25,0.48877950348538585,True,True
ideologue,25,0.4844154007756949,True,True
day,25,0.4780134351266769,True,False
agreement,25,0.47383864530024306,True,True
roll,24,0.4833365246047023,True,True
emergency,24,0.47383864530024306,True,True
unleash,23,0.4844154007756949,True,True
job,23,0.4790686524227623,True,False
withdraw,23,0.4780134351266769,True,True
answer,22,0.4833365246047023,True,True
real,22,0.48226244343891406,True,True
story,22,0.48119312538250847,True,True
money,22,0.47487549135122825,True,True
protest,22,0.4707550966323456,True,True
evidence,21,0.48119312538250847,True,True
crusade,21,0.4801285388219277,True,True
thousand,21,0.4801285388219277,True,True
model,21,0.4637138879220327,True,True
bureaucracy,21,0.4617406373351305,True,True
science,20,0.4790686524227623,True,True
scientist,20,0.467711421438602,True,True
save,20,0.455920377200654,True,True
kill,19,0.4780134351266769,True,True
manufacture,19,0.47487549135122825,True,True
hearing,19,0.4627251589499175,True,True
earth,19,0.4597841092108291,True,True
case,19,0.4255256853872771,True,True
want,18,0.47177847727719857,True,True
activist,18,0.467711421438602,True,True
alarmism,18,0.467711421438602,True,True
paris,18,0.4637138879220327,True,True
solution,18,0.4627251589499175,True,True
year,18,0.4578440918723868,True,True
action,18,0.44931283550209383,True,True
right,17,0.47177847727719857,True,True
revive,17,0.46872159729484086,True,True
sovereignty,17,0.41258193830325346,True,True
strategy,16,0.4707550966323456,True,True
question,16,0.4588120497833221,True,True
infect,16,0.4521210407239819,True,True
not-account,16,0.43059146735617326,False,False
overreach,15,0.4647068512794675,True,True
take away,15,0.4607602962792172,False,False
million,15,0.45688020957370806,True,True
leave,15,0.455920377200654,True,True
bureaucrat,15,0.4540127605596471,True,True
concern,15,0.4483845031973374,True,True
not-receive,15,0.42303723108676666,False,False
warming,15,0.4048845140811778,True,True
destroy,14,0.4588120497833221,True,True
marcher,14,0.4588120497833221,True,True
tax,14,0.4578440918723868,True,False
they,14,0.4530649259864537,True,False
reverse,14,0.4521210407239819,True,True
refuse,14,0.45024501980811477,True,True
epa,14,0.44931283550209383,True,False
plan,14,0.3996650083747907,True,True
abandon,13,0.4627251589499175,True,True
use,13,0.45688020957370806,True,False
religion,13,0.455920377200654,True,True
look,13,0.4540127605596471,True,True
gas,13,0.44931283550209383,True,False
pruitt,13,0.44931283550209383,True,True
need,13,0.4246929541047188,True,True
gain,13,0.42139436805342,True,True
repeal,13,0.38478386444594204,True,True
abundance,12,0.455920377200654,True,True
industry,12,0.4483845031973374,True,True
lobby,12,0.44745999906703365,True,True
regulate,12,0.44745999906703365,True,True
unfair,12,0.4437997945756878,True,True
hysteria,12,0.4401989848833901,True,True
war,12,0.4110191279308927,True,False
restore,11,0.4597841092108291,True,True
government,11,0.45688020957370806,True,True
debate,11,0.4483845031973374,True,True
organizer,11,0.44745999906703365,True,True
rational,11,0.44109369826729944,True,True
hear,11,0.4384204031262855,True,True
win,11,0.42221420145430216,True,False
renaissance,11,0.41654145786470503,True,True
business,11,0.41336780866192635,True,True
uncertain,11,0.3952970847859951,True,True
power,11,0.3794022719362086,True,True
transfer,10,0.4578440918723868,True,True
billion,10,0.4549645692819944,True,True
strangle,10,0.4540127605596471,True,True
rule,10,0.4521210407239819,True,True
push,10,0.4511810801403562,True,True
community,10,0.44931283550209383,True,True
cover,10,0.4437997945756878,True,True
honesty,10,0.40114251302682313,True,True
justify,10,0.3996650083747907,True,True
global,10,0.3896195683079198,True,True
you,10,0.37224373850344994,True,False
consensus,9,0.45024501980811477,True,True
coverage,9,0.441992056104911,True,True
organize,9,0.4366561359104856,True,True
commitment,9,0.43577931636046446,True,True
regulatory,9,0.4340361990950226,True,True
crisis,9,0.4323069712101819,True,True
left,9,0.4323069712101819,True,True
researcher,9,0.43059146735617326,True,True
skeptical,9,0.42139436805342,True,True
excuse,9,0.40188536953242837,True,True
tell,9,0.3875323206205559,True,True
forget,9,0.37808031280054233,True,True
environmentalism,9,0.35173111758105563,True,True
crime,8,0.4521210407239819,True,True
skeptic,8,0.44109369826729944,True,True
fly,8,0.4384204031262855,True,False
partisan,8,0.43577931636046446,True,True
alarmist,8,0.43490601111725713,True,True
disagree,8,0.4331698593762701,True,True
exit,8,0.4331698593762701,True,True
wealth,8,0.4272009833612428,True,True
today,8,0.40114251302682313,True,True
china,8,0.3882255805858879,True,True
tolerate,8,0.3616968325791855,True,True
school,8,0.3466742804273344,True,True
good,7,0.44470922038424454,True,True
raise,7,0.4375364910232083,True,True
jet,7,0.4375364910232083,True,False
america,7,0.4366561359104856,True,True
congress,7,0.43577931636046446,True,True
eliminate,7,0.4340361990950226,True,True
medium,7,0.4340361990950226,True,True
work,7,0.4340361990950226,True,True
predict,7,0.4331698593762701,True,True
scheme,7,0.4297388109851709,True,True
environmentalist,7,0.42636168869845054,True,True
accept,7,0.42636168869845054,True,True
view,7,0.42303723108676666,True,True
pull,7,0.39386224963250693,True,True
decline,7,0.39314873106433207,True,True
dominance,7,0.39243779303347437,True,True
household,7,0.3868415321702519,True,True
victory,7,0.3868415321702519,True,True
shut,7,0.38478386444594204,True,True
it,7,0.3635144046021965,True,False
dissent,7,0.35693766372945945,True,True
advantage,7,0.3444731738849386,True,True
political,6,0.45024501980811477,True,True
advocacy,6,0.44289408070920677,True,True
democrats,6,0.441992056104911,True,True
questioning,6,0.441992056104911,True,True
movement,6,0.441992056104911,True,True
narrative,6,0.4331698593762701,True,True
neutral,6,0.4255256853872771,True,True
quietly,6,0.39314873106433207,True,True
worker,6,0.3868415321702519,True,True
reset,6,0.3861532020418351,True,True
rally,6,0.37288333255586137,True,True
u.s,6,0.37224373850344994,False,False
rural,6,0.36230066702422586,True,True
expand,6,0.3557673763073956,True,True
miner,6,0.34229984155758886,True,True
grant,5,0.4375364910232083,True,True
prosperity,5,0.4366561359104856,True,True
tomorrow,5,0.43490601111725713,True,True
ago,5,0.42303723108676666,True,False
catastrophe,5,0.42303723108676666,True,True
production,5,0.38478386444594204,True,True
thought,5,0.3767675339366516,True,True
hijack,5,0.37224373850344994,True,True
scott,5,0.37224373850344994,True,True
economy,5,0.3709711103376262,True,True
farmer,5,0.36907840059100566,True,True
appalachian,5,0.35870760255786993,True,True
deregulation,5,0.35870760255786993,True,True
takeover,5,0.35811567582097575,True,True
taxpayer,5,0.3557673763073956,True,True
media,5,0.355185105642408,True,True
oil,5,0.35002919281856665,True,False
small,5,0.3461213708891728,True,True
reform,5,0.34392725760302906,True,True
parent,5,0.3354221013099093,True,True
india,5,0.3338739993038636,True,True
obama,4,0.4255256853872771,True,True
coat,4,0.41734249912982946,True,True
mainstream,4,0.3641243280998512,True,True
family,4,0.3523021096550508,True,True
clean,4,0.331325342820628,True,True
coal,4,0.33031674208144796,True,True
federalism,3,0.4205777123013785,True,True
wrong,3,0.36596644105819787,True,True
unelected,3,0.3483436589847694,True,True
university,3,0.34392725760302906,True,True
income,3,0.3380344229712014,True,True
natural,3,0.3333611360176825,True,True
different,3,0.3293142633497896,True,True
low,3,0.32831785105523653,True,False
private,3,0.3196142850478812,True,True
economic,3,0.3196142850478812,True,True
environment,2,0.3461213708891728,True,True
dollar,2,0.3375087084720238,True,True
affordable,2,0.32831785105523653,True,True
lab,2,0.32008569254795183,True,False
belt,2,0.31497547104138074,True,True
rust,2,0.31497547104138074,True,True
prediction,2,0.31406381989509596,True,True
fail,2,0.31406381989509596,True,True
fringe,1,0.34284059960112373,True,True
economist,0,0.0,True,True
politic,0,0.0,True,True
