term,degree,closeness,is_alpha,usable_term
climate,230,0.6879988138608828,True,True
change,186,0.6384628992628993,True,True
march,153,0.6009628193363133,True,True
scientist,144,0.5938085000585,True,True
trump,79,0.5292298568160637,True,True
america,73,0.5292298568160637,True,True
fight,70,0.5250517263675158,True,True
denial,62,0.5175607160042958,True,True
crisis,61,0.5129040000505296,True,True
cost,59,0.5155546667174574,True,True
day,59,0.5096287510080614,True,False
rollback,54,0.5102804501781485,True,True
action,53,0.5115888615888616,True,True
community,49,0.5038375152011516,True,True
science,48,0.5038375152011516,True,True
pull,46,0.5044744779258054,True,True
issue,46,0.5000492632071579,True,True
emergency,46,0.49325007668641785,True,True
lead,44,0.4926411259744593,True,True
earth,43,0.48485943139649096,True,True
policy,42,0.5006766775901029,True,True
harm,42,0.5000492632071579,True,True
end,42,0.4981764195247341,True,False
protect,42,0.4938605347021189,True,True
force,42,0.49325007668641785,True,True
datum,41,0.5019362415588831,True,True
important,41,0.49942341932329426,True,True
warming,40,0.489618787778297,True,True
american,40,0.48782311985245974,True,True
advocate,39,0.48782311985245974,True,True
require,38,0.4920336769905204,True,True
state,37,0.46616742060667293,True,True
bring,36,0.4854492847193577,True,True
look,35,0.49082326204097426,True,True
today,35,0.489618787778297,True,True
global,35,0.4801917112386427,True,True
world,32,0.4801917112386427,True,True
demand,32,0.47903878996315974,True,True
fuel,31,0.4744819405937123,True,True
stop,31,0.46616742060667293,True,True
woman,30,0.4733562420395161,True,True
washington,30,0.4433770133770134,True,True
research,29,0.4872274872274872,True,True
agreement,29,0.4773197512431962,True,True
movement,29,0.47504680004680006,True,True
redrawe,28,0.489618787778297,True,True
turn,28,0.47789139166384675,True,True
dismantle,27,0.4733562420395161,True,True
create,27,0.47112079343484303,True,True
it,27,0.4639992000457117,True,False
administration,27,0.4488631181544568,True,True
try,26,0.4813501954635851,True,False
drive,26,0.4801917112386427,True,True
grow,26,0.4761805632927351,True,True
cut,26,0.4739184228495392,True,False
resistance,26,0.46945801416389654,True,True
disrupt,25,0.48485943139649096,True,True
intensify,25,0.4744819405937123,True,True
miss,25,0.4733562420395161,True,True
feel,25,0.4618510556010556,True,True
epa,25,0.46025295506264363,True,False
act,25,0.4529390602035324,True,False
draw,25,0.4433770133770134,True,True
step,24,0.4773197512431962,True,True
erase,24,0.4733562420395161,True,True
case,24,0.47279539341150717,True,True
rally,24,0.47167767380533343,True,True
want,24,0.4705652264614529,True,True
work,24,0.4700109682441838,True,True
hurt,24,0.4667126456600141,True,True
leadership,24,0.4639992000457117,True,True
form,24,0.4634602927285854,True,True
push,24,0.4544866879718816,True,True
adopt,23,0.4700109682441838,True,True
send,22,0.4739184228495392,True,True
reshape,22,0.46780693087844316,True,True
listen,21,0.47223587223587227,True,True
wait,21,0.47167767380533343,True,True
leader,21,0.4586658759072552,True,True
connection,20,0.47903878996315974,True,True
disproportionately,20,0.47112079343484303,True,True
liability,20,0.4683560000461409,True,True
explain,20,0.4586658759072552,True,True
abandon,20,0.4488631181544568,True,True
beginning,19,0.4705652264614529,True,True
define,19,0.4672591475870165,True,True
generation,19,0.46616742060667293,True,True
sue,19,0.4639992000457117,True,False
justice,19,0.4623862248427718,True,True
job,19,0.45656671858044856,True,False
rise,19,0.45656671858044856,True,True
accelerate,19,0.4560449280449281,True,True
lose,19,0.45552432881200006,True,True
energy,19,0.43326743978209775,True,True
isolate,18,0.47223587223587227,True,True
plan,18,0.47223587223587227,True,True
coastline,18,0.4667126456600141,True,True
threaten,18,0.46616742060667293,True,True
budget,18,0.4629226357764641,True,True
activist,18,0.45656671858044856,True,True
mobilization,18,0.4560449280449281,True,True
run,18,0.45396963826997955,True,False
government,18,0.44436449002150563,True,True
oppose,18,0.442393915786377,True,True
new,18,0.4370638686082279,True,False
mark,18,0.3866660000380931,True,True
setback,17,0.4705652264614529,True,True
republicans,17,0.4683560000461409,True,True
purchase,17,0.4618510556010556,True,True
line,17,0.46131712374486944,True,True
war,17,0.45708970451238495,True,False
think,17,0.4503829706989978,True,True
worsen,17,0.4375431053062632,True,True
we,17,0.4299992586630518,True,False
need,16,0.4705652264614529,True,True
million,16,0.4629226357764641,True,True
alive,16,0.4483587775722607,True,True
americans,16,0.4473534888333095,True,True
country,16,0.4375431053062632,True,True
bad,15,0.4672591475870165,True,False
threat,15,0.46616742060667293,True,True
continue,15,0.46131712374486944,True,True
afford,15,0.46078442498765826,True,True
u.s,15,0.45919368474029004,False,False
unite,15,0.4529390602035324,True,True
hide,15,0.45140193669605433,True,True
city,15,0.44936859463886497,True,True
position,15,0.4478555690676903,True,True
paris,15,0.4428849190225439,True,True
